epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,58099.1,1.1666,1.84181,0.93838,0.01015,0.45391,0.9296,0.83313,0.91868,0.67663,0.92413,0.82822,0.90907,0.65345,1.04355,1.69981,0.73444,0.01058,0,0.00047426,0.00047426,0.00047426
28,60250.3,1.15798,1.8007,0.91699,0.01016,0.46873,0.9149,0.84908,0.92433,0.67182,0.90899,0.83926,0.91226,0.66532,1.12146,1.74596,0.69294,0.01168,0,0.00047327,0.00047327,0.00047327
29,89841.5,1.17968,1.81045,0.93676,0.01015,0.49049,0.94895,0.81227,0.91405,0.66097,0.94895,0.81227,0.91235,0.67331,1.09196,1.66603,0.72017,0.01105,0,0.00047228,0.00047228,0.00047228
30,91982.2,1.12454,1.7893,0.89818,0.00938,0.45748,0.94021,0.81036,0.91417,0.67017,0.93736,0.80791,0.91143,0.65341,1.09258,1.71325,0.76639,0.01126,0,0.00047129,0.00047129,0.00047129
31,94131.5,1.13423,1.80396,0.90693,0.00975,0.45964,0.93541,0.7997,0.88099,0.66216,0.93822,0.80132,0.88195,0.66016,1.08673,1.74586,0.8136,0.01122,0,0.0004703,0.0004703,0.0004703
32,96284.5,1.16498,1.78451,0.9186,0.01008,0.47915,0.92078,0.82699,0.91294,0.65883,0.92352,0.82945,0.90966,0.66923,1.12071,1.65067,0.68195,0.01179,0,0.00046931,0.00046931,0.00046931
33,98434,1.14634,1.78902,0.93289,0.00982,0.44946,0.94949,0.8072,0.90084,0.67715,0.92525,0.81718,0.90292,0.65693,1.0207,1.68295,0.73651,0.01014,0,0.00046832,0.00046832,0.00046832
34,100590,1.14945,1.80056,0.94134,0.00997,0.48879,0.93922,0.85321,0.92634,0.70446,0.95818,0.8319,0.92288,0.68993,0.99124,1.62242,0.6245,0.01,0,0.00046733,0.00046733,0.00046733
35,102745,1.11527,1.76004,0.88714,0.0095,0.45747,0.91903,0.79385,0.89166,0.6552,0.91903,0.79385,0.88396,0.64894,1.11234,1.75942,0.86906,0.01136,0,0.00046634,0.00046634,0.00046634
36,104888,1.11127,1.7487,0.8765,0.00924,0.45312,0.9096,0.80123,0.87772,0.63521,0.91877,0.80498,0.88034,0.63767,1.1532,1.70236,0.87337,0.01161,0,0.00046535,0.00046535,0.00046535
37,107034,1.10817,1.73123,0.87301,0.00923,0.44257,0.92299,0.83313,0.90148,0.67066,0.92928,0.83313,0.89778,0.64512,1.05516,1.76011,0.71934,0.01078,0,0.00046436,0.00046436,0.00046436
38,109168,1.09549,1.7512,0.85375,0.00942,0.41464,0.93855,0.84325,0.92043,0.66765,0.93991,0.84447,0.91937,0.66929,1.09376,1.65841,0.69842,0.01108,0,0.00046337,0.00046337,0.00046337
39,111307,1.13572,1.78298,0.89873,0.00963,0.43958,0.95558,0.84462,0.92847,0.69089,0.94526,0.83558,0.91993,0.67586,1.03957,1.66817,0.66533,0.01047,0,0.00046238,0.00046238,0.00046238
40,113448,1.18047,1.78866,0.90292,0.01018,0.43494,0.92788,0.82086,0.91325,0.65836,0.93749,0.81104,0.9077,0.66902,1.13292,1.65509,0.70214,0.01144,0,0.00046139,0.00046139,0.00046139
41,115601,1.1744,1.7327,0.85478,0.01005,0.44842,0.91211,0.84046,0.92066,0.69761,0.91098,0.83804,0.91698,0.68458,1.00199,1.60564,0.61926,0.00979,0,0.0004604,0.0004604,0.0004604
42,117752,1.09439,1.70867,0.82951,0.00911,0.44994,0.91537,0.85767,0.92624,0.70072,0.90882,0.85153,0.91842,0.69508,1.04969,1.66558,0.60574,0.01057,0,0.00045941,0.00045941,0.00045941
43,119912,1.12421,1.74285,0.86662,0.00955,0.45008,0.95465,0.83804,0.92662,0.6953,0.95465,0.83804,0.92461,0.69487,1.05651,1.57547,0.62441,0.01074,0,0.00045842,0.00045842,0.00045842
44,122065,1.08413,1.72693,0.82717,0.00915,0.435,0.92209,0.83681,0.91941,0.66747,0.92565,0.8319,0.91552,0.66998,1.07724,1.69769,0.67911,0.01088,0,0.00045743,0.00045743,0.00045743
45,124238,1.08133,1.67871,0.79392,0.00909,0.37432,0.9131,0.86384,0.93042,0.69372,0.93375,0.83926,0.92251,0.69571,1.03468,1.60881,0.63199,0.0103,0,0.00045644,0.00045644,0.00045644
46,126367,1.11904,1.69717,0.85865,0.00969,0.43217,0.93093,0.83067,0.92044,0.681,0.92645,0.82822,0.90884,0.67511,1.04135,1.59743,0.73544,0.01041,0,0.00045545,0.00045545,0.00045545
47,128518,1.08885,1.66225,0.80693,0.00908,0.40659,0.95729,0.82506,0.92326,0.69831,0.95871,0.82629,0.92173,0.69525,1.02802,1.64669,0.64373,0.01026,0,0.00045446,0.00045446,0.00045446
48,130692,1.12849,1.70569,0.85659,0.0098,0.4086,0.88449,0.89255,0.93592,0.69408,0.88325,0.89115,0.93163,0.69275,1.01694,1.55103,0.63107,0.00991,0,0.00045347,0.00045347,0.00045347
49,132841,1.0694,1.66051,0.81209,0.00906,0.3732,0.93707,0.8589,0.93933,0.69368,0.93687,0.8589,0.94083,0.69515,1.02587,1.56858,0.57144,0.00989,0,0.00045248,0.00045248,0.00045248
50,134983,1.09423,1.64169,0.79499,0.00934,0.40404,0.96407,0.82298,0.90807,0.67522,0.96119,0.82053,0.90167,0.68307,1.0636,1.69585,0.65194,0.01085,0,0.00045149,0.00045149,0.00045149
51,137120,1.06189,1.62394,0.79964,0.00939,0.38424,0.92266,0.86363,0.93818,0.70389,0.92452,0.84908,0.93175,0.69539,1.00355,1.62247,0.59944,0.01006,0,0.0004505,0.0004505,0.0004505
52,139257,1.0622,1.64913,0.79638,0.00883,0.4027,0.925,0.86259,0.93081,0.69473,0.9486,0.83779,0.9259,0.68681,1.02555,1.6257,0.61949,0.01035,0,0.00044951,0.00044951,0.00044951
53,141404,1.03993,1.65367,0.76804,0.00894,0.40672,0.94321,0.83554,0.91725,0.68831,0.94321,0.83554,0.91654,0.68471,1.06613,1.65095,0.66271,0.01072,0,0.00044852,0.00044852,0.00044852
54,143552,1.07974,1.6676,0.77172,0.00944,0.39841,0.9371,0.87239,0.93659,0.70414,0.92658,0.86714,0.93222,0.68951,1.01797,1.68758,0.55847,0.01007,0,0.00044753,0.00044753,0.00044753
55,145687,1.06272,1.62269,0.77164,0.00905,0.37012,0.9555,0.84312,0.92383,0.68755,0.95569,0.84172,0.92158,0.69739,1.08296,1.61543,0.62488,0.01083,0,0.00044654,0.00044654,0.00044654
